Window_Index,OLD_STATIC,PORT_DYNAMIC,MULTI_SIGNAL
230,0.2525,0.1463,0.1463
231,0.1463,0.1463,0.1463
232,0.3902,0.2525,0.2525
233,0.1463,0.1463,0.1463
234,0.2525,0.1463,0.1463
235,0.2525,0.1463,0.1463
236,0.1836,0.1836,0.1836
237,0.2525,0.2525,0.2525
238,0.2525,0.1463,0.1463
239,0.2525,0.1463,0.4877
240,0.2525,0.1463,0.1463
241,0.4131,0.4131,0.4877
242,0.4131,0.4131,0.4131
243,0.3443,0.4131,0.4131
244,0.3902,0.3443,0.3443
245,0.3902,0.3443,0.3443
246,0.3902,0.3443,0.3443
247,0.3902,0.2525,0.2525
248,0.1836,0.1463,0.1463
249,0.2525,0.1463,0.1463
250,0.2525,0.1463,0.1463
251,0.3902,0.2525,0.2525
252,0.2525,0.1463,0.1463
253,0.2525,0.1463,0.1463
254,0.2525,0.1463,0.1463
255,0.1836,0.1463,0.1463
256,0.1836,0.1463,0.1463
257,0.3902,0.2525,0.2525
258,0.2525,0.2525,0.2525
259,0.6828,0.6828,0.6828
260,0.3902,0.3443,0.3443
261,0.3902,0.3902,0.3443
262,0.3902,0.3443,0.3443
263,0.3902,0.3443,0.3443
264,0.3443,0.3443,0.3443
265,0.2525,0.1463,0.1463
266,0.3902,0.2525,0.2525
267,0.2525,0.1463,0.1463
268,0.1836,0.1463,0.1463
269,0.6828,0.6828,0.6828
270,0.2525,0.4877,0.4877
271,0.3902,0.2525,0.2525
272,0.3902,0.2525,0.2525
273,0.2525,0.1463,0.1463
274,0.2525,0.1463,0.1463
275,0.2525,0.1463,0.1463
276,0.2525,0.1463,0.1463
277,0.2525,0.1463,0.1463
278,0.2525,0.1463,0.1463
279,0.3902,0.2525,0.2525
280,0.1836,0.1836,0.1836
281,0.1836,0.1836,0.1463
282,0.2525,0.1463,0.1463
283,0.6828,0.6828,0.6828
284,0.2525,0.1463,0.1463
285,0.6828,0.6828,0.6828
286,0.1836,0.1836,0.1836
287,0.3902,0.2525,0.2525
288,0.3902,0.6828,0.6828
289,0.3902,0.3443,0.3443
290,0.3443,0.6828,0.6828
291,0.3443,0.3443,0.3443
292,0.2525,0.2525,0.2525
293,0.2525,0.1463,0.1463
294,0.2525,0.1463,0.1463
295,0.6828,0.6828,0.6828
296,0.6828,0.6828,0.6828
297,0.1836,0.1836,0.1836
298,0.3902,0.3443,0.3443
299,0.3902,0.2525,0.2525
300,0.3902,0.2525,0.2525
301,0.3443,0.1463,0.1463
302,0.3443,0.1463,0.1463
303,0.6828,0.6828,0.6828
304,0.3902,0.3443,0.3443
305,0.3902,0.3443,0.3443
306,0.3902,0.3443,0.3443
307,0.3902,0.3443,0.3443
308,0.3443,0.3443,0.3443
309,0.3902,0.2525,0.2525
310,0.3902,0.2525,0.2525
311,0.1836,0.1463,0.1463
312,0.1836,0.1463,0.1463
313,0.1836,0.1463,0.1463
314,0.3443,0.3443,0.3443
315,0.3902,0.2525,0.2525
316,0.6828,0.6828,0.6828
317,0.3902,0.3443,0.3443
318,0.3902,0.3443,0.3443
319,0.3902,0.3443,0.3443
320,0.3902,0.3443,0.3443
321,0.3902,0.3443,0.3443
322,0.3902,0.2525,0.2525
323,0.3902,0.2525,0.2525
324,0.3902,0.2525,0.2525
325,0.1836,0.1463,0.1463
